Formula modelo,MAE train,MAE test,Variación validación (MAE)
Y~Y1+Y4+Y7+CLASE_ACCIDENTE+FESTIVO,6.049445272344146,5.817039658035409,3.8417673661948935
Y~Y1+Y4+Y7+CLASE_ACCIDENTE+QUINCENA,6.055135592872844,5.822518371805938,3.8416517268532666
Y~Y1+Y4+Y7+CLASE_ACCIDENTE+QUINCENA_DESPUES,6.0520240724716965,5.825772690122778,3.738441546821465
Y~Y1+Y4+Y7+DIA_SEMANA+FIN_SEMANA,6.167017721813796,5.895192051108701,4.407732926461374
Y~Y1+Y4+Y7+DIA_SEMANA+FESTIVO,6.135890236510651,5.850499845940881,4.651165186619526
Y~Y1+Y4+Y7+DIA_SEMANA+QUINCENA,6.150399854835171,5.860167344393737,4.718921001750248
Y~Y1+Y4+Y7+DIA_SEMANA+QUINCENA_DESPUES,6.144120149076128,5.860057310660244,4.623328182450949
Y~Y1+Y4+Y7+FIN_SEMANA+FESTIVO,6.157881125869942,5.887093730934903,4.3974118596968506
Y~Y1+Y4+Y7+FIN_SEMANA+QUINCENA,6.167825578153591,5.894393488682267,4.433200744843036
Y~Y1+Y4+Y7+FIN_SEMANA+QUINCENA_DESPUES,6.16400747754051,5.896649114850752,4.337411394517584
Y~Y1+Y4+Y7+FESTIVO+QUINCENA,6.146770551606626,5.84175977385035,4.962130523589393
Y~Y1+Y4+Y7+FESTIVO+QUINCENA_DESPUES,6.144137040132982,5.844162500045725,4.882289215358464
Y~Y1+Y4+Y7+QUINCENA+QUINCENA_DESPUES,6.148585513994985,5.847475751616494,4.897220046677827
Y~Y1+Y4+Y14+CLASE_ACCIDENTE+DIA_SEMANA,6.216772391180982,6.130193350487695,1.3926686589991004
Y~Y1+Y4+Y14+CLASE_ACCIDENTE+FIN_SEMANA,6.209869024954666,6.131141011403848,1.267788631844661
Y~Y1+Y4+Y14+CLASE_ACCIDENTE+FESTIVO,6.208346866148242,6.127490115895621,1.3023877691741403
Y~Y1+Y4+Y14+CLASE_ACCIDENTE+QUINCENA,6.217352626398713,6.134615775680144,1.3307408424490934
Y~Y1+Y4+Y14+CLASE_ACCIDENTE+QUINCENA_DESPUES,6.21426690053851,6.13428909526289,1.287003061755994
Y~Y1+Y4+Y14+DIA_SEMANA+FIN_SEMANA,6.353140637779011,6.202769580589163,2.3668775140229767
Y~Y1+Y4+Y14+DIA_SEMANA+FESTIVO,6.318548629780899,6.163426346293931,2.45503030167147
Y~Y1+Y4+Y14+DIA_SEMANA+QUINCENA,6.338562891696906,6.175061844727829,2.5794655628210648
