FECHA_ACCIDENTE,Y,CLASE_ACCIDENTE
2015-05-03,14,Atropello
2015-05-04,6,Atropello
2015-05-05,10,Atropello
2015-05-06,18,Atropello
2015-05-07,11,Atropello
2015-05-08,14,Atropello
2015-05-09,14,Atropello
2015-05-10,12,Atropello
2015-05-11,5,Atropello
2015-05-12,26,Atropello
2015-05-13,8,Atropello
2015-05-14,10,Atropello
2015-05-15,15,Atropello
2015-05-16,17,Atropello
2015-05-17,16,Atropello
2015-05-18,12,Atropello
2015-05-19,18,Atropello
2015-05-20,14,Atropello
2015-05-21,11,Atropello
2015-05-22,18,Atropello
2015-05-23,15,Atropello
2015-05-24,10,Atropello
2015-05-25,14,Atropello
2015-05-26,16,Atropello
2015-05-27,17,Atropello
2015-05-28,12,Atropello
2015-05-29,14,Atropello
2015-05-30,7,Atropello
2015-05-31,14,Atropello
2015-06-01,13,Atropello
2015-06-02,13,Atropello
2015-06-03,24,Atropello
2015-06-04,10,Atropello
2015-06-05,10,Atropello
2015-06-06,15,Atropello
2015-06-07,11,Atropello
2015-06-08,15,Atropello
2015-06-09,13,Atropello
2015-06-10,16,Atropello
2015-06-11,14,Atropello
2015-06-12,8,Atropello
2015-06-13,9,Atropello
2015-06-14,10,Atropello
2015-06-15,10,Atropello
2015-06-16,10,Atropello
2015-06-17,18,Atropello
2015-06-18,14,Atropello
2015-06-19,15,Atropello
2015-06-20,13,Atropello
2015-06-21,6,Atropello
2015-06-22,7,Atropello
2015-06-23,16,Atropello
2015-06-24,13,Atropello
2015-06-25,12,Atropello
2015-06-26,15,Atropello
2015-06-27,21,Atropello
2015-06-28,7,Atropello
2015-06-29,9,Atropello
2015-06-30,13,Atropello
2015-07-01,14,Atropello
2015-07-02,12,Atropello
2015-07-03,7,Atropello
2015-07-04,16,Atropello
2015-07-05,16,Atropello
2015-07-06,13,Atropello
2015-07-07,18,Atropello
2015-07-08,10,Atropello
2015-07-09,10,Atropello
2015-07-10,12,Atropello
2015-07-11,15,Atropello
2015-07-12,11,Atropello
2015-07-13,8,Atropello
2015-07-14,10,Atropello
2015-07-15,15,Atropello
2015-07-16,9,Atropello
2015-07-17,16,Atropello
2015-07-18,18,Atropello
2015-07-19,9,Atropello
2015-07-20,13,Atropello
2015-07-21,8,Atropello
2015-07-22,9,Atropello
2015-07-23,10,Atropello
2015-07-24,13,Atropello
2015-07-25,15,Atropello
2015-07-26,9,Atropello
2015-07-27,10,Atropello
2015-07-28,6,Atropello
2015-07-29,18,Atropello
2015-07-30,10,Atropello
2015-07-31,13,Atropello
2015-08-01,7,Atropello
2015-08-02,14,Atropello
2015-08-03,14,Atropello
2015-08-04,8,Atropello
2015-08-05,14,Atropello
2015-08-06,10,Atropello
2015-08-07,12,Atropello
2015-08-08,14,Atropello
2015-08-09,13,Atropello
2015-08-10,12,Atropello
2015-08-11,8,Atropello
2015-08-12,15,Atropello
2015-08-13,12,Atropello
2015-08-14,8,Atropello
2015-08-15,16,Atropello
